Age,Ethnicity,Gender,Income,District,Region,Insurance Coverage,Insurance Coverage Amount,Sports,Height,Weight,Pricepoint
57,Chinese,Male,54123.0,Islands,New Territories,no,0.0,Football,192,78.1948594470254,
28,Chinese,Female,33918.0,Kowloon City,Kowloon,no,0.0,Jogging,141,69.30299692988243,
37,Other,Female,25966.0,Yau Tsim Mong,Kowloon,yes,365.7402270451408,Rugby,147,84.33576478407885,
22,Chinese,Female,30002.0,Tai Po,New Territories,yes,167.9543517746752,Swimming,150,74.31389464613733,
53,Chinese,Male,47977.0,Tsuen Wan,New Territories,no,0.0,Fencing,141,92.3190261777466,
52,Chinese,Male,47219.0,North,New Territories,yes,135.0,Football,179,75.96468417494631,
39,Chinese,Male,44064.0,Eastern,Hong Kong Island,yes,300.0,Dragon Boat,143,80.16196591589005,67.08913774896064
49,Chinese,Female,39670.0,Kwai Tsing,New Territories,yes,135.0,Swimming,179,96.05615121528444,
57,Chinese,Male,52586.0,Tai Po,New Territories,yes,176.11536973254405,Gymnastics,166,74.30083980863083,
50,Filipinos,Male,20950.0,Central and Western,Hong Kong Island,no,0.0,Dragon Boat,172,82.63056446943443,1184.8140912586691
62,Chinese,Female,34350.0,Tai Po,New Territories,no,0.0,Basketball,166,89.2872265703288,
53,Filipinos,Male,67298.0,Sham Shui Po,Kowloon,no,0.0,Gymnastics,186,90.26882359879069,
43,Whites,Female,45380.0,Wan Chai,Hong Kong Island,yes,539.43757504793,Martial Arts,175,75.17881755755748,2270.739667264038
40,Whites,Male,39662.0,Tai Po,New Territories,yes,210.46498403130312,Cycling,192,79.43688605655004,
43,Chinese,Male,56625.0,Central and Western,Hong Kong Island,yes,300.0,Football,182,85.17350484158273,138.0942787308768
43,Chinese,Male,59944.0,Kwai Tsing,New Territories,no,0.0,Martial Arts,200,79.41427177347718,
57,Chinese,Male,21759.0,Kwai Tsing,New Territories,yes,135.0,Tennis,157,84.71993951863864,
67,Chinese,Female,46485.0,Southern,Hong Kong Island,yes,300.0,Tennis,171,71.19503775541648,955.5181654322445
50,Chinese,Female,54846.0,Eastern,Hong Kong Island,no,0.0,Fencing,193,90.10048477090452,-2.2767077098045547
52,Chinese,Female,73922.0,Kowloon City,Kowloon,no,0.0,Gymnastics,187,90.22634385693006,
35,Chinese,Male,38452.0,Sai Kung,New Territories,no,0.0,Swimming,159,84.84081729839724,
20,Chinese,Female,49596.0,Kwun Tong,Kowloon,no,0.0,Tennis,191,79.14050171273615,
39,South Asians,Male,74063.0,Kwai Tsing,New Territories,no,0.0,Cycling,179,74.44557939869182,
26,Chinese,Male,53435.0,Islands,New Territories,no,0.0,Rugby,145,86.9661441877382,
35,Chinese,Female,42184.0,Sha Tin,New Territories,yes,135.0,Rugby,196,91.4910095664365,
51,Chinese,Male,46664.0,Yuen Long,New Territories,no,0.0,Jogging,182,74.06763340179648,
18,Chinese,Female,25490.0,Sham Shui Po,Kowloon,yes,195.0,Gymnastics,179,73.20480888934446,
64,Other,Female,26212.0,Eastern,Hong Kong Island,no,0.0,Rugby,184,102.85905651869913,899.8340437803913
26,Chinese,Male,36240.0,Tsuen Wan,New Territories,yes,135.0,Swimming,183,72.8977525179059,
51,Chinese,Male,59090.0,Kwai Tsing,New Territories,no,0.0,Football,186,89.63586005875817,
29,Chinese,Female,40895.0,Kowloon City,Kowloon,no,0.0,Fencing,164,79.93640308278763,
43,Chinese,Female,59806.0,Wong Tai Sin,Kowloon,no,0.0,Gymnastics,148,80.4756224596024,
68,Whites,Female,36500.0,Wong Tai Sin,Kowloon,yes,195.0,Football,153,64.35872062108433,
62,Chinese,Male,37983.0,Wong Tai Sin,Kowloon,yes,344.066846064354,Jogging,164,81.80826674813876,
30,Chinese,Female,28684.0,Eastern,Hong Kong Island,no,0.0,Rugby,194,80.29867464157837,4675.465961911451
27,Chinese,Male,23430.0,Eastern,Hong Kong Island,yes,300.0,Badminton,157,71.19703244743978,-23.47132044302407
29,Other,Male,47260.0,Wong Tai Sin,Kowloon,no,0.0,Fencing,150,74.22320346077342,
25,Whites,Male,25429.0,North,New Territories,no,0.0,Cycling,188,83.03455109163389,
20,South Asians,Male,21796.0,Kwun Tong,Kowloon,yes,253.98299818956846,Rugby,181,66.55347700645052,
34,Chinese,Female,42287.0,Kwun Tong,Kowloon,no,0.0,Basketball,150,100.33897337651328,
58,Chinese,Male,52602.0,Tsuen Wan,New Territories,yes,135.0,Rugby,198,76.87505920098279,
55,Chinese,Male,25295.0,Tuen Mun,New Territories,yes,332.33878910025567,Basketball,179,73.97268768200277,
62,Chinese,Male,54129.0,Sham Shui Po,Kowloon,yes,436.64037523108675,Fencing,158,73.57365693170377,
65,Filipinos,Male,48481.0,Wong Tai Sin,Kowloon,yes,459.8847426385484,Tennis,170,83.3742348333219,
40,Chinese,Female,58741.0,Sai Kung,New Territories,no,0.0,Martial Arts,178,85.82027755007584,
57,Chinese,Female,24543.0,Wong Tai Sin,Kowloon,no,0.0,Basketball,167,63.25963211756829,
32,Whites,Male,48507.0,Sai Kung,New Territories,no,0.0,Football,151,76.26375739317501,
18,Chinese,Female,78821.0,Sha Tin,New Territories,no,0.0,Badminton,200,79.39903348048662,
29,Chinese,Male,42813.0,North,New Territories,no,0.0,Basketball,185,87.42639528953633,
52,Chinese,Male,44078.0,Central and Western,Hong Kong Island,yes,400.33416402082486,Rugby,142,73.0157637542866,1410.0804711834644
37,Chinese,Male,33698.0,Yau Tsim Mong,Kowloon,yes,303.376563575308,Football,164,81.8193770335233,
61,Chinese,Female,41573.0,Sham Shui Po,Kowloon,yes,254.23928562395307,Gymnastics,142,87.16664237695628,
46,Chinese,Male,47091.0,Yuen Long,New Territories,yes,162.2436062987465,Football,183,84.52405387861354,
65,Chinese,Male,51500.0,North,New Territories,no,0.0,Fencing,160,64.36221543430563,
35,Chinese,Female,43357.0,Wan Chai,Hong Kong Island,no,0.0,Fencing,150,67.2641908549663,1730.915457543208
37,Chinese,Female,26047.0,Islands,New Territories,no,0.0,Badminton,165,68.73308248645967,
39,Chinese,Female,35089.0,Tai Po,New Territories,no,0.0,Martial Arts,188,84.28454382102868,
26,Chinese,Female,38911.0,Tai Po,New Territories,yes,180.36067060997502,Badminton,145,81.04236999402599,
39,Chinese,Male,39109.0,Sha Tin,New Territories,yes,174.3092976192096,Tennis,197,81.57258605011204,
62,Chinese,Male,22356.0,Yau Tsim Mong,Kowloon,no,0.0,Swimming,171,62.986702962053286,
58,Chinese,Female,34025.0,Tai Po,New Territories,yes,207.84944471485449,Swimming,170,88.0500223231819,
54,Chinese,Female,23453.0,Kwai Tsing,New Territories,yes,172.9538473063197,Swimming,173,77.40202003860466,
53,Whites,Female,67201.0,Sha Tin,New Territories,yes,179.3853406697507,Football,174,75.98959487224938,
47,Chinese,Female,51385.0,Yau Tsim Mong,Kowloon,yes,233.3930151970229,Fencing,178,91.70650161147046,
42,Chinese,Male,33125.0,Kowloon City,Kowloon,yes,195.0,Fencing,175,79.62463536896652,
28,Whites,Female,20269.0,Kwun Tong,Kowloon,yes,257.0092474979075,Martial Arts,140,76.81632661778497,
37,Chinese,Male,54118.0,Kwai Tsing,New Territories,yes,230.53072054271547,Jogging,183,77.46840846622547,
31,Chinese,Male,29508.0,Yau Tsim Mong,Kowloon,yes,366.24112139423016,Football,190,83.3539508337902,
31,Chinese,Female,37289.0,Central and Western,Hong Kong Island,yes,416.142095890372,Fencing,186,65.22755246888946,1267.1974109807823
69,Filipinos,Female,78559.0,Wan Chai,Hong Kong Island,yes,384.72223846700524,Swimming,186,82.93444619664538,1368.8863752228017
43,Chinese,Female,50504.0,Sham Shui Po,Kowloon,yes,195.0,Badminton,172,84.34422968786896,
31,Chinese,Male,46865.0,Sai Kung,New Territories,no,0.0,Cycling,172,80.52829324658052,
58,Other,Male,30824.0,Central and Western,Hong Kong Island,yes,601.0508946075392,Tennis,145,80.319200640303,1593.4297933253058
38,Chinese,Female,39806.0,Wan Chai,Hong Kong Island,yes,384.77181131490386,Jogging,165,70.80670698398369,674.6053112294271
19,Chinese,Male,41471.0,Sha Tin,New Territories,yes,135.0,Martial Arts,175,91.07418254808414,
23,Filipinos,Female,33178.0,Tuen Mun,New Territories,yes,135.0,Badminton,150,79.51127296041888,
68,Chinese,Male,20140.0,Southern,Hong Kong Island,no,0.0,Rugby,168,80.03915320922783,1706.8009145378396
66,Other,Female,54914.0,Tsuen Wan,New Territories,yes,181.9682087240811,Fencing,188,70.03599517101458,
59,Chinese,Female,44667.0,Wan Chai,Hong Kong Island,no,0.0,Dragon Boat,186,83.17838002425827,967.3192116145551
26,Chinese,Female,64852.0,Tuen Mun,New Territories,yes,135.0,Basketball,163,77.92473352963106,
36,Whites,Male,35145.0,Wan Chai,Hong Kong Island,yes,364.29734872184173,Tennis,183,78.76713886841611,1331.4151334980704
27,Chinese,Male,76400.0,Eastern,Hong Kong Island,yes,381.8013902299476,Jogging,200,97.98717249839237,2852.024568241677
63,Chinese,Female,21125.0,Sham Shui Po,Kowloon,yes,345.2961602766771,Fencing,172,74.20577963947194,
21,Chinese,Female,23713.0,Sham Shui Po,Kowloon,no,0.0,Tennis,193,73.80847786590195,
61,Chinese,Male,40249.0,Kwai Tsing,New Territories,yes,232.10046769030984,Fencing,161,81.66661530017379,
30,Chinese,Male,29208.0,Tuen Mun,New Territories,no,0.0,Martial Arts,147,75.00804313129929,
37,Chinese,Female,59443.0,Kowloon City,Kowloon,no,0.0,Martial Arts,140,73.60149670084948,
23,Chinese,Female,39895.0,Sha Tin,New Territories,no,0.0,Badminton,172,89.2164004797612,
40,Chinese,Female,57817.0,Kwun Tong,Kowloon,yes,195.0,Gymnastics,165,81.1086288362477,
52,South Asians,Male,24437.0,Tai Po,New Territories,yes,135.0,Tennis,169,98.74399613946233,
41,Chinese,Female,28325.0,Eastern,Hong Kong Island,no,0.0,Tennis,157,77.09851979206852,968.6766423085252
50,Whites,Female,29325.0,Eastern,Hong Kong Island,yes,300.0,Swimming,173,85.27569453943885,953.1030681246001
30,Whites,Female,54420.0,North,New Territories,no,0.0,Gymnastics,158,85.75190335361731,
51,Chinese,Female,26525.0,Tai Po,New Territories,yes,164.0221586183333,Swimming,148,58.47520450669522,
45,Chinese,Male,69083.0,Kwai Tsing,New Territories,yes,168.54178735955372,Badminton,175,59.56863092078436,
54,Whites,Female,20767.0,Yuen Long,New Territories,yes,257.44207447011166,Gymnastics,141,80.67455928991419,
44,Chinese,Female,45900.0,Wong Tai Sin,Kowloon,yes,195.0,Basketball,184,81.67752120661603,
52,Chinese,Male,24798.0,Southern,Hong Kong Island,no,0.0,Martial Arts,157,81.0343319968087,-171.07879581788654
55,Chinese,Female,30636.0,Kwun Tong,Kowloon,yes,249.7734837508152,Football,149,74.09889393746818,
57,Chinese,Male,52159.0,Tai Po,New Territories,yes,135.0,Tennis,144,75.02174319375862,
49,Other,Male,30340.0,North,New Territories,yes,135.0,Fencing,156,65.42298968376244,
28,Other,Male,43964.0,Sham Shui Po,Kowloon,no,0.0,Martial Arts,156,68.42708769191479,
48,South Asians,Female,37376.0,Eastern,Hong Kong Island,yes,300.0,Cycling,180,80.7827325327674,979.7233763353936
44,Other,Female,44908.0,Central and Western,Hong Kong Island,yes,300.0,Basketball,194,89.29557194117778,654.5866212629332
42,Chinese,Female,49291.0,Yuen Long,New Territories,yes,167.86355964130533,Gymnastics,178,87.30050162686697,
38,Other,Female,27527.0,North,New Territories,yes,221.70360250965138,Basketball,141,66.6908371515226,
46,Chinese,Female,50921.0,Sha Tin,New Territories,yes,183.60616703588457,Football,195,77.12928981637525,
40,Chinese,Male,44496.0,Sham Shui Po,Kowloon,no,0.0,Fencing,140,74.95171457023395,
61,Filipinos,Male,50463.0,Central and Western,Hong Kong Island,yes,300.0,Gymnastics,166,74.08286760625482,305.9106453961601
43,South Asians,Female,68944.0,North,New Territories,no,0.0,Gymnastics,145,85.63848515993394,
36,Other,Female,40251.0,Eastern,Hong Kong Island,no,0.0,Swimming,193,71.39474948343924,1255.0336413708728
41,Chinese,Female,41643.0,Central and Western,Hong Kong Island,no,0.0,Martial Arts,199,105.26559428534603,2186.109802537704
41,Chinese,Female,40093.0,Tuen Mun,New Territories,yes,135.0,Gymnastics,172,78.7385545132584,
45,Filipinos,Male,45028.0,Southern,Hong Kong Island,no,0.0,Rugby,154,74.82601993293373,2208.9637320766424
26,Other,Male,25624.0,North,New Territories,yes,177.88263640629023,Jogging,156,71.53270115305497,
54,Chinese,Male,45595.0,Wong Tai Sin,Kowloon,yes,249.737256051842,Cycling,175,69.592785947887,
23,Chinese,Female,34139.0,Southern,Hong Kong Island,yes,300.0,Jogging,167,70.76750601802942,368.5581547921208
23,Chinese,Male,63017.0,Southern,Hong Kong Island,no,0.0,Gymnastics,145,58.50785012393507,1248.8309511225211
24,Chinese,Female,38959.0,Kowloon City,Kowloon,no,0.0,Swimming,142,66.69801614724992,
66,Chinese,Male,33140.0,Wan Chai,Hong Kong Island,no,0.0,Dragon Boat,196,89.0864786700382,1830.227678892377
51,Chinese,Male,46861.0,Yau Tsim Mong,Kowloon,no,0.0,Football,149,78.29247843326134,
51,Whites,Male,38750.0,Yau Tsim Mong,Kowloon,no,0.0,Tennis,190,90.23147872868955,
66,Chinese,Male,22324.0,Yuen Long,New Territories,no,0.0,Fencing,179,77.91621276636323,
58,Chinese,Female,27193.0,Eastern,Hong Kong Island,no,0.0,Dragon Boat,191,87.29132400743964,542.6388402337913
67,Chinese,Male,37551.0,Kwun Tong,Kowloon,no,0.0,Fencing,194,74.66588725987361,
63,Chinese,Female,26971.0,Tuen Mun,New Territories,yes,135.0,Rugby,179,85.08461957510744,
55,Chinese,Male,35612.0,Kowloon City,Kowloon,no,0.0,Jogging,158,78.13216771092772,
63,Chinese,Male,45102.0,Islands,New Territories,no,0.0,Jogging,197,86.32990510124279,
48,Chinese,Female,44752.0,Central and Western,Hong Kong Island,no,0.0,Swimming,174,82.50787074769353,631.8394359443882
61,Other,Female,22990.0,Central and Western,Hong Kong Island,no,0.0,Martial Arts,169,89.34078028486368,1968.3268698248062
50,Chinese,Female,47328.0,North,New Territories,yes,177.57499102562042,Football,144,77.23464817455921,
44,Chinese,Female,36089.0,Tai Po,New Territories,yes,135.0,Football,147,77.45953134255438,
40,Chinese,Male,26659.0,Tai Po,New Territories,yes,135.0,Swimming,185,84.74089918571113,
34,South Asians,Male,72522.0,Central and Western,Hong Kong Island,no,0.0,Badminton,192,85.16055706373376,-119.0678184056145
31,Chinese,Male,28472.0,Yau Tsim Mong,Kowloon,yes,195.0,Tennis,142,79.31048384710003,
37,Other,Female,50432.0,Tai Po,New Territories,no,0.0,Jogging,192,88.32293987210443,
53,Chinese,Female,20264.0,Yuen Long,New Territories,yes,135.0,Cycling,143,70.7431810415381,
39,Whites,Male,37524.0,Sha Tin,New Territories,yes,135.0,Swimming,160,83.35506734383341,
22,Chinese,Male,42851.0,Kwun Tong,Kowloon,yes,195.0,Basketball,163,73.45669879956968,
29,Chinese,Male,30088.0,Yau Tsim Mong,Kowloon,no,0.0,Tennis,143,75.52838781686532,
24,Chinese,Female,51300.0,Central and Western,Hong Kong Island,no,0.0,Gymnastics,180,99.3270713926301,1192.8169528314857
29,Chinese,Male,48778.0,Islands,New Territories,yes,173.99145876635612,Badminton,195,82.52514679426324,
66,Chinese,Female,30288.0,North,New Territories,no,0.0,Dragon Boat,178,83.15339608335344,
59,Chinese,Female,26376.0,Kwun Tong,Kowloon,yes,195.0,Gymnastics,194,94.52360356818517,
58,Chinese,Female,21517.0,Yuen Long,New Territories,yes,135.0,Martial Arts,147,76.53701320809186,
29,Chinese,Male,35987.0,Yuen Long,New Territories,yes,262.4656297387709,Football,186,86.26980018583947,
37,Chinese,Female,52373.0,Sai Kung,New Territories,yes,135.0,Badminton,188,86.6953927282342,
46,Chinese,Female,45058.0,Kwun Tong,Kowloon,yes,195.0,Jogging,166,76.85353412830345,
70,Whites,Female,41031.0,Kwun Tong,Kowloon,no,0.0,Rugby,140,71.51102121798264,
54,Chinese,Male,42064.0,Yau Tsim Mong,Kowloon,no,0.0,Rugby,157,70.25050948743966,
53,Chinese,Male,39020.0,Sha Tin,New Territories,no,0.0,Tennis,167,90.36805770173743,
40,Chinese,Female,51378.0,Wan Chai,Hong Kong Island,no,0.0,Fencing,167,82.05783899862152,307.7181326056257
18,Whites,Male,42611.0,North,New Territories,yes,135.0,Football,188,90.31881306477966,
51,South Asians,Female,50845.0,Islands,New Territories,no,0.0,Fencing,163,90.52466258838587,
20,Other,Female,27833.0,Tsuen Wan,New Territories,yes,135.0,Swimming,169,79.16891284960835,
54,Other,Male,35785.0,Islands,New Territories,yes,352.8963789804841,Jogging,143,73.1931798300714,
22,Chinese,Male,45913.0,Eastern,Hong Kong Island,no,0.0,Tennis,197,83.05484945132169,1561.163768921149
41,Other,Male,61652.0,Sai Kung,New Territories,no,0.0,Fencing,197,90.38328204894027,
36,Chinese,Male,36307.0,Southern,Hong Kong Island,no,0.0,Rugby,192,69.89150146568252,1206.8640113011447
56,Chinese,Male,48331.0,Sha Tin,New Territories,no,0.0,Tennis,165,77.60773301253218,
65,Chinese,Female,33151.0,Southern,Hong Kong Island,no,0.0,Fencing,162,79.32376999464165,182.101901035295
31,Chinese,Female,41142.0,Eastern,Hong Kong Island,no,0.0,Fencing,191,81.04225174754131,5740.708893542681
20,Chinese,Male,29134.0,North,New Territories,yes,162.81450431360406,Swimming,155,71.77376821278416,
52,Chinese,Male,47306.0,Kwai Tsing,New Territories,no,0.0,Gymnastics,142,81.5128394502377,
18,Chinese,Male,44959.0,Kwun Tong,Kowloon,yes,430.9317015227065,Fencing,162,70.83806936441039,
21,Chinese,Female,21098.0,Islands,New Territories,yes,158.53629160799463,Tennis,198,84.40777713535516,
55,Chinese,Female,25776.0,Yau Tsim Mong,Kowloon,no,0.0,Dragon Boat,152,66.58670467696479,
51,Chinese,Female,21238.0,Wong Tai Sin,Kowloon,yes,345.34023928464205,Swimming,152,80.49034534750888,
38,Chinese,Male,50061.0,Tsuen Wan,New Territories,no,0.0,Jogging,191,86.6024192338229,
67,Filipinos,Female,49743.0,Southern,Hong Kong Island,yes,668.3180006289552,Martial Arts,194,101.54991741760674,2372.487031599001
66,Chinese,Male,29456.0,Yau Tsim Mong,Kowloon,yes,195.0,Cycling,145,80.60078611734107,
46,Whites,Male,40738.0,Sha Tin,New Territories,no,0.0,Tennis,152,68.4629582743128,
36,Whites,Female,46684.0,Wan Chai,Hong Kong Island,no,0.0,Fencing,194,91.52317987672937,1644.452288722487
38,Chinese,Male,33963.0,Tuen Mun,New Territories,yes,172.7576378673235,Basketball,153,77.17852565924477,
52,Chinese,Female,48324.0,Southern,Hong Kong Island,yes,498.3632619973596,Jogging,150,81.70006297986592,2272.7496383501093
26,Chinese,Male,34115.0,Sha Tin,New Territories,no,0.0,Fencing,193,89.64683967807952,
18,Whites,Female,20234.0,Tsuen Wan,New Territories,yes,135.0,Swimming,177,78.57120067727985,
42,Filipinos,Female,22064.0,North,New Territories,yes,378.80645602590977,Jogging,140,65.04520500313191,
37,Chinese,Female,31950.0,Sha Tin,New Territories,yes,160.87949816638186,Cycling,173,77.51236133632594,
49,Chinese,Male,26198.0,Sha Tin,New Territories,no,0.0,Swimming,175,69.6977964376141,
30,Other,Male,53591.0,Sham Shui Po,Kowloon,yes,195.0,Tennis,168,72.65492588185613,
45,Chinese,Female,63707.0,Kwun Tong,Kowloon,yes,398.58576592902654,Basketball,150,68.62397757134255,
32,Chinese,Female,44744.0,Wong Tai Sin,Kowloon,no,0.0,Cycling,149,65.70286895571022,
30,South Asians,Female,42006.0,Wan Chai,Hong Kong Island,yes,568.940036559969,Jogging,199,77.28475372959588,1867.8297407683297
43,Chinese,Male,40939.0,Wan Chai,Hong Kong Island,no,0.0,Basketball,154,79.44494895619631,690.8572000625078
35,Chinese,Female,46486.0,Yau Tsim Mong,Kowloon,yes,271.92507683264233,Martial Arts,172,82.69429032836693,
34,Other,Male,34385.0,Yau Tsim Mong,Kowloon,yes,195.0,Fencing,198,84.98369156785238,
28,Chinese,Female,41102.0,Central and Western,Hong Kong Island,yes,842.8709505428765,Basketball,173,82.25475090606813,2893.405236382276
49,Chinese,Female,47474.0,Sha Tin,New Territories,yes,258.7017381669515,Martial Arts,167,83.42900186272973,
41,South Asians,Female,22369.0,Kowloon City,Kowloon,yes,195.0,Dragon Boat,175,69.84483834707515,
26,Chinese,Male,37176.0,Wong Tai Sin,Kowloon,yes,233.07178566316333,Tennis,174,80.6041607560653,
31,Chinese,Male,39956.0,Sai Kung,New Territories,no,0.0,Football,197,89.10185321983954,
43,Whites,Female,47602.0,Kowloon City,Kowloon,no,0.0,Jogging,173,70.91635138483028,
21,Chinese,Male,48234.0,Islands,New Territories,no,0.0,Gymnastics,146,79.86736834315666,
43,Whites,Male,37179.0,Tai Po,New Territories,no,0.0,Fencing,180,86.9688078949546,
63,Chinese,Male,51654.0,Eastern,Hong Kong Island,yes,584.4122088723177,Badminton,173,66.59971224602474,1488.8168034968755
51,Whites,Male,42415.0,Kowloon City,Kowloon,yes,195.0,Cycling,200,90.52189440304218,
54,Filipinos,Female,26534.0,Eastern,Hong Kong Island,no,0.0,Badminton,167,57.93305293394318,1192.796165191401
58,South Asians,Male,37749.0,Yuen Long,New Territories,yes,135.0,Jogging,175,91.67785500030352,
66,Chinese,Male,30014.0,Kwun Tong,Kowloon,yes,409.4775528153244,Cycling,156,62.43917959241746,
